wavelength spectrum_sum 3smoothed_sum spectrum_optimal 3smoothed_optimal spectrum_snr
4162.6 41962.8 41838.8 40095.7 39969.3 218.656
4165.51 42356 42137.3 40472.5 40232.6 219.723
4168.42 42092.9 41865.2 40129.8 39960.4 219.033
4171.33 41146.7 41446.5 39278.9 39517.1 216.52
4174.25 41099.9 41067.6 39142.5 39194.3 216.424
4177.16 40956.4 41302.7 39161.4 39464.8 216.012
4180.07 41851.8 41474.7 40090.6 39658.7 218.399
4182.98 41615.9 41821 39724.1 40057.1 217.785
4185.89 41995.4 42073.9 40356.6 40351.3 218.773
4188.8 42610.5 42360.2 40973.2 40668.1 220.359
4191.72 42474.7 42410.9 40674.4 40658.5 219.983
4194.63 42147.4 42154 40327.9 40319.4 219.105
4197.54 41839.7 41868 39955.9 40037.9 218.381
4200.45 41616.9 42044.8 39829.8 40232 217.775
4203.36 42677.8 42743 40910.3 41085.3 220.51
4206.28 43934.3 43873.2 42515.9 42236.3 223.771
4209.19 45007.3 44516.1 43282.9 42874.5 226.481
4212.1 44606.6 44728.6 42824.7 42951.3 225.431
4215.01 44571.9 44837.6 42746.2 43081.4 225.358
4217.92 45334.4 45095.9 43673.2 43279.4 227.336
4220.83 45381.2 44830.5 43418.9 43044.8 227.375
4223.74 43775.8 44596.7 42042.2 42840.9 223.33
4226.66 44633 44741 43061.6 43085.9 225.535
4229.57 45814.2 45182.3 44154 43513.8 228.488
4232.48 45099.7 45160.9 43325.7 43472.6 226.723
4235.39 44569 44881.9 42938.2 43252.1 225.335
4238.3 44976.9 45141 43492.4 43559.4 226.386
4241.21 45877.1 45634.4 44247.6 44028.7 228.638
4244.12 46049.3 45949 44345.9 44328.1 229.076
4247.03 45920.6 46195.3 44390.7 44638 228.768
4249.95 46616.2 46497.8 45177.3 44968.2 230.526
4252.86 46956.5 47057 45336.7 45486.5 231.351
4255.77 47598.2 47242.4 45945.5 45638.8 232.917
4258.68 47172.4 47785.9 45634.2 46244.7 231.898
4261.59 48587 48494.9 47154.2 47044.4 235.31
4264.5 49725.3 48965.3 48344.9 47485.6 238.085
4267.41 48583.7 48580.1 46957.7 47086.4 235.318
4270.32 47431.4 48033.8 45956.5 46569.2 232.481
4273.23 48086.3 48306.1 46793.3 46941.8 234.097
4276.14 49400.7 48950 48075.7 47607.1 237.292
4279.05 49363 49388.9 47952.4 47967.6 237.176
4281.96 49403 49282.8 47874.6 47848.5 237.283
4284.88 49082.6 49134.9 47718.5 47673.3 236.527
4287.79 48919.2 48911.6 47426.8 47463.9 236.154
4290.7 48733.1 48766.6 47246.3 47323.3 235.711
4293.61 48647.4 48210.4 47296.8 46757.5 235.5
4296.52 47250.8 47173.3 45729.5 45800.9 232.027
4299.43 45621.6 46149.7 44376.4 44831.3 228.004
4302.34 45576.6 45587.7 44388.1 44357.4 227.874
4305.25 45564.9 45755.9 44307.6 44553.8 227.854
4308.16 46126.3 46098.8 44965.8 44905.8 229.287
4311.07 46605.1 46556.4 45444 45389 230.446
4313.98 46937.9 47115.7 45757.1 45933.2 231.308
4316.89 47804.2 47426.3 46598.6 46255.4 233.402
4319.8 47536.7 47263.7 46410.7 46098.3 232.748
4322.71 46450.3 46419.2 45285.7 45268.1 230.048
4325.62 45270.6 44986.8 44107.8 43818.1 227.149
4328.53 43239.7 43270.2 42060.8 42087 221.955
