wavelength spectrum_sum 3smoothed_sum spectrum_optimal 3smoothed_optimal spectrum_snr
3945.27 153.283 156.068 149.46 157.443 9.57482
3948.18 176.645 167.814 183.174 179.772 10.8327
3951.09 173.512 188.055 206.683 204.82 10.3369
3954 214.007 180.195 224.604 198.748 12.3298
3956.91 153.067 181.367 164.957 190.835 9.74272
3959.82 177.027 169.379 182.943 183.423 11.3199
3962.74 178.044 179.9 202.369 184.653 11.3332
3965.65 184.631 178.423 168.647 184.714 11.5839
3968.56 172.594 193.433 183.125 188.783 11.4787
3971.47 223.076 191.895 214.576 197.63 13.2011
3974.38 180.015 195.545 195.189 203.732 11.1422
3977.29 183.542 190.902 201.43 201.431 10.7593
3980.2 209.148 186.641 207.673 193.427 12.039
3983.12 167.232 186.971 171.178 182.362 9.94706
3986.03 184.532 167.893 168.234 162.699 10.6304
3988.94 151.915 163.561 148.686 159.639 9.17313
3991.85 154.235 162.927 161.997 165.923 9.22052
3994.76 182.629 176.244 187.086 181.348 10.4913
3997.67 191.868 186.321 194.962 186.768 10.4478
4000.58 184.466 189.567 178.257 188.074 10.1031
4003.5 192.368 185.69 191.002 189.748 10.4527
4006.41 180.236 185.163 199.984 192.245 9.27456
4009.32 182.886 196.2 185.75 206.944 9.5747
4012.23 225.479 207.259 235.098 220.46 11.3949
4015.14 213.412 211.305 240.534 222.017 10.7916
4018.05 195.024 206.443 190.419 210.976 10.086
4020.96 210.894 198.742 201.975 198.004 10.8345
4023.87 190.308 181.84 201.62 186.214 9.72921
4026.79 144.319 159.884 155.048 174.922 7.958
4029.7 145.025 157.604 168.098 167.454 8.0881
4032.61 183.469 161.326 179.216 181.518 9.54512
4035.52 155.485 193.243 197.239 209.676 8.35892
4038.43 240.776 194.29 252.572 216.284 11.7852
4041.34 186.609 229.929 199.039 240.426 9.49735
4044.25 262.401 229.652 269.667 233.51 12.5214
4047.16 239.945 247.413 231.825 252.589 11.6958
4050.07 239.894 238.827 256.275 254.773 11.4076
4052.99 236.642 265.011 276.218 281.247 11.2386
4055.9 318.499 273.197 311.247 281.786 14.3916
4058.81 264.45 282.076 257.892 284.076 12.2183
4061.72 263.278 270.89 283.089 269.433 12.2434
4064.63 284.943 278.647 267.318 277.851 12.9555
4067.54 287.721 284.486 283.145 277.837 13.421
4070.45 280.793 287.217 283.048 287.905 12.8486
4073.36 293.136 299.559 297.523 305.532 13.2527
4076.27 324.749 302.969 336.025 308.337 14.6421
4079.18 291.022 318.122 291.462 319.1 13.0436
4082.09 338.593 315.357 329.813 318.598 15.0195
4085 316.457 324.094 334.519 339.661 13.9228
4087.92 317.232 310.332 354.652 332.665 14.0902
4090.83 297.308 302.445 308.825 325.861 13.1375
4093.74 292.795 305.263 314.106 317.246 13.1861
4096.65 325.687 318.149 328.807 325.89 14.4622
4099.56 335.966 316.207 334.758 313.981 15.151
4102.47 286.968 317.936 278.378 323.666 13.5648
4105.38 330.873 307.29 357.863 313.855 14.5146
4108.29 304.029 327.39 305.326 333.463 13.6304
4111.2 347.269 321.853 337.202 332.281 15.1728
4114.11 314.26 322.52 354.317 335.344 13.7098
4117.02 306.031 320.065 314.514 331.863 13.4442
4119.93 339.904 309.038 326.757 304.225 14.6417
4122.84 281.179 315.8 271.406 316.08 12.9251
4125.75 326.317 299.134 350.079 305.896 14.2086
4128.66 289.907 330.365 296.205 334.576 12.8755
4131.57 374.872 317.369 357.443 308.942 15.4727
4134.48 287.327 344.343 273.177 335.211 12.8505
4137.39 370.831 340.177 375.012 344.283 15.7415
4140.3 362.374 343.095 384.66 363.303 15.3764
4143.21 296.079 337.04 330.238 361.307 13.0923
4146.12 352.666 328.091 369.023 346.606 14.8007
4149.03 335.528 339.707 340.556 350.534 14.2769
4151.94 330.928 330.894 342.023 339.28 14.2013
4154.85 326.226 335.547 335.262 350.573 13.8875
4157.76 349.487 319.457 374.433 337.842 14.2908
4160.67 282.658 321.909 303.829 350.51 12.0914
4163.59 333.583 313.972 373.267 331.505 13.5698
4166.5 325.675 338.145 317.417 350.573 13.8066
4169.4 355.179 345.265 361.033 346.138 14.5736
4172.31 354.94 346.682 359.964 361.381 14.6642
4175.22 329.928 350.345 363.146 362.583 13.8204
4178.13 366.167 351.184 364.639 368.54 14.8291
4181.04 357.455 360.906 377.836 374.2 14.5595
4183.95 359.096 358.156 380.126 372.231 14.571
4186.86 357.917 357.308 358.732 367.562 14.758
4189.77 354.911 371.04 363.827 370.162 14.6171
4192.68 400.292 382.085 387.928 381.71 16.1637
4195.59 391.052 375.028 393.373 375.888 16.4105
4198.5 333.738 368.512 346.362 371.567 14.0504
4201.41 380.745 366.963 374.965 373.011 15.5596
4204.32 386.405 385.266 397.705 399.113 15.7244
4207.23 388.646 376.156 424.67 398.119 15.7555
4210.14 353.417 368.575 371.981 395.745 14.3168
4213.05 363.663 377.607 390.585 399.991 14.79
4215.96 415.742 383.609 437.408 401.831 16.4101
4218.87 371.423 389.379 377.501 410.642 15.0601
4221.78 380.974 390.582 417.017 409.31 15.3987
4224.69 419.35 394.498 433.411 405.571 16.7375
4227.6 383.169 403.206 366.285 395.5 15.6527
4230.51 407.1 387.043 386.805 382.888 16.2832
4233.42 370.859 384.553 395.574 398.65 15.3607
4236.33 375.7 380.916 413.572 405.2 15.1507
4239.24 396.191 403.925 406.454 423.217 16.2009
4242.14 439.886 414.486 449.624 427.734 17.402
4245.05 407.38 419.59 427.125 431.051 16.023
4247.96 411.504 413.828 416.404 426.776 16.4226
4250.87 422.6 412.94 436.798 416.73 16.5682
4253.78 404.715 414.318 396.988 419.547 15.9673
4256.69 415.64 405.199 424.856 407.215 16.1441
4259.6 395.244 397.39 399.802 406.905 15.6102
4262.51 381.287 386.915 396.058 399.146 15.0601
